OpenML ID,Dataset,Problem,Best Pipeline,Validation Metric,Best Test-set Score,Baseline,Features,Instances,Numeric Features,Discrete Features,Actual Time,Equivalent Time,LLM Inference Time,ML Training Time,Workers,Pipeline Budget,Actual Pipelines,Input Tokens,Output Tokens,Total Tokens,Putative Cost ($)
40983,wilt,classification,Pipeline 1,balanced_accuracy,0.9714897547866981,hamlet,6,4839,6,0,0:02:56,0:24:54,0:14:44,0:10:10,8,30,30,466488,25633,492121,0.4652145000000002
40499,texture,classification,Pipeline 7,balanced_accuracy,0.9990909090909091,hamlet,41,5500,41,0,0:03:25,0:27:24,0:16:18,0:11:05,8,30,30,1399617,26348,1425965,1.0713804749999996
1485,madelon,classification,Pipeline 4,balanced_accuracy,0.8634615384615385,hamlet,501,2600,501,0,0:23:05,3:29:35,1:12:19,2:17:16,8,30,30,10366225,25022,10391247,1.6777463250000002
1478,har,classification,Pipeline 21,balanced_accuracy,0.990018747588372,hamlet,562,10299,562,0,0:50:12,8:50:29,4:20:15,4:30:14,8,30,30,14415641,23455,14439096,3.0976692
1590,adult,classification,Pipeline 15,balanced_accuracy,0.8084896588966366,hamlet,15,48842,7,8,0:21:15,3:23:43,1:43:57,1:39:46,8,30,22,6722986,109578,6832564,3.067211099999999
554,mnist_784,classification,Pipeline 18,balanced_accuracy,0.9751759107416321,hamlet,785,70000,785,0,2:00:25,5:13:02,1:52:30,3:20:32,8,30,16,7872820,14525,7887345,2.8266172499999995
43939,california_housing,regression,Pipeline 3,rmse,68631.62391521868,to fill,10,20640,10,0,0:04:33,0:30:27,0:28:18,0:02:09,8,30,9,8636262,152884,8789146,4.426976925
42165,ames_housing,regression,Pipeline 9,rmse,32165.09714151505,to fill,81,1460,38,43,0:11:22,0:53:22,0:34:16,0:19:06,8,30,9,9973821,135303,10109124,3.702884174999996
196,auto_mpg,regression,Pipeline 21,rmse,2.4341959173799372,to fill,8,398,8,0,0:03:16,0:20:18,0:18:39,0:01:40,8,30,10,4796283,90799,4887082,2.6218957500000006

40983,wilt,classification,Pipeline 22,balanced_accuracy,0.9703980517299295,hamlet,6,4839,6,0,0:03:12,0:27:21,0:15:18,0:12:03,8,30,30,729549,34918,764467,0.7042927499999995
40499,texture,classification,Pipeline 21,balanced_accuracy,0.9990909090909091,hamlet,41,5500,41,0,0:03:29,0:28:08,0:15:42,0:12:26,8,30,30,1605082,30924,1636006,1.0234569
1485,madelon,classification,Pipeline 18,balanced_accuracy,0.8634615384615385,hamlet,501,2600,501,0,0:21:51,3:27:49,1:34:35,1:53:14,8,30,30,15253303,34701,15288004,2.338574925
1478,har,classification,Pipeline 8,balanced_accuracy,0.9883260641664936,hamlet,562,10299,562,0,0:56:23,9:17:06,4:25:10,4:51:56,8,30,30,16859994,26257,16886251,2.39558535
1590,adult,classification,Pipeline 14,balanced_accuracy,0.7923793683755391,hamlet,15,48842,7,8,0:41:33,6:23:32,2:57:16,3:26:17,8,30,30,2266109,74176,2340285,1.5414276750000004
554,mnist_784,classification,Pipeline 0,balanced_accuracy,0.9717885471276556,hamlet,785,70000,785,0,2:00:25,4:31:45,1:42:11,2:49:34,8,30,16,12979070,20768,12999838,2.3871754500000013
43939,california_housing,regression,Pipeline 10,rmse,64433.08022100983,to fill,10,20640,10,0,0:04:22,0:30:55,0:21:25,0:09:29,8,30,30,4331918,85785,4417703,2.162694749999999
42165,ames_housing,regression,Pipeline 14,rmse,32553.76791560881,to fill,81,1460,38,43,0:03:27,0:26:14,0:20:05,0:06:09,8,30,30,5159950,75485,5235435,1.9771432500000001
196,auto_mpg,regression,Pipeline 10,rmse,2.2778594529647105,to fill,8,398,8,0,0:02:11,0:16:59,0:11:38,0:05:21,8,30,30,1137466,38442,1175908,0.941268675
